epoch,split,time_s,lr,loss,loss_std,psnr,ssim,noise_mse,noise_mae,loss_per_class,grad_norm,ema_enabled,total_count,loss_c0,loss_c1,loss_c2,loss_c3,loss_c4,loss_c5,loss_c6,loss_c7,loss_c8
1,train,1762017820.059292,0.0002,0.028123153373599052,0.027417896315455437,19.58946990966797,0.48452848196029663,0.07208045572042465,0.15848669409751892,,0.18714088201522827,1.0,22496.0,0.01958143711090088,0.011516956612467766,0.028188038617372513,0.042872197926044464,0.028905406594276428,0.02757171541452408,0.03344574198126793,0.02962968870997429,0.030305415391921997
1,val,1762017840.3386698,0.0002,0.021509118378162384,0.011140706948935986,20.430099487304688,0.4671422243118286,0.05731014907360077,0.14057716727256775,,0.0,1.0,2501.0,0.01142552774399519,0.004718593321740627,0.02305130660533905,0.03623740375041962,0.02185157872736454,0.020373694598674774,0.026896830648183823,0.02305811643600464,0.024599239230155945
1,diag,1762017840.3390837,0.0002,,,,,,,,,,,,,,,,,,,
2,train,1762018432.8657691,0.0002,0.02478625997900963,0.015421124175190926,20.343109130859375,0.5212096571922302,0.06313884258270264,0.14747071266174316,,0.1359110325574875,1.0,22496.0,0.017391938716173172,0.01000379677861929,0.02684551477432251,0.040743038058280945,0.02702973037958145,0.025747651234269142,0.03203959763050079,0.02820984087884426,0.02894323691725731
2,val,1762018451.142985,0.0002,0.021170560270547867,0.01072776596993208,20.770679473876953,0.4799157977104187,0.05589909106492996,0.13832785189151764,,0.0,1.0,2501.0,0.011775070801377296,0.004615873098373413,0.02257997915148735,0.03525351360440254,0.020886074751615524,0.020935125648975372,0.025945182889699936,0.023042667657136917,0.02393479272723198
2,diag,1762018451.14332,0.0002,,,,,,,,,,,,,,,,,,,
3,train,1762018894.98786,0.0002,0.02441657893359661,0.015197515487670898,20.533939361572266,0.5301663875579834,0.06155510991811752,0.14539210498332977,,0.1252129077911377,1.0,22496.0,0.016482841223478317,0.009382162243127823,0.026120254769921303,0.04000633955001831,0.026393292471766472,0.025028370320796967,0.03143279626965523,0.02754778414964676,0.028428703546524048
3,val,1762018912.381195,0.0002,0.020847655832767487,0.010497926734387875,21.095279693603516,0.4822373688220978,0.05416502803564072,0.1362028568983078,,0.0,1.0,2501.0,0.01101498119533062,0.004135243594646454,0.0217527374625206,0.03443865850567818,0.022014731541275978,0.020557787269353867,0.02726363018155098,0.021959124132990837,0.023552056401968002
3,diag,1762018912.381553,0.0002,,,,,,,,,,,,,,,,,,,
4,train,1762019355.145041,0.0002,0.024110794067382812,0.01508854329586029,20.729774475097656,0.5365750789642334,0.06098972633481026,0.14427600800991058,,0.11536159366369247,1.0,22496.0,0.0159971434623003,0.009037492796778679,0.025810975581407547,0.0395335927605629,0.02600155957043171,0.024544289335608482,0.0309907179325819,0.027146056294441223,0.028018902987241745
4,val,1762019372.0318613,0.0002,0.020674601197242737,0.010530429892241955,21.207088470458984,0.4874088168144226,0.05525423586368561,0.13737156987190247,,0.0,1.0,2501.0,0.010983861982822418,0.004032033029943705,0.022257398813962936,0.03447956591844559,0.020949753001332283,0.019947387278079987,0.026238830760121346,0.022839831188321114,0.02309819497168064
4,diag,1762019372.0321143,0.0002,,,,,,,,,,,,,,,,,,,
5,train,1762019819.5940113,0.0002,0.024177277460694313,0.01515648327767849,20.795869827270508,0.5406128168106079,0.06032320111989975,0.14354820549488068,,0.1050693616271019,1.0,22496.0,0.01566053181886673,0.008828828111290932,0.02558477409183979,0.039350442588329315,0.025758882984519005,0.02433702163398266,0.030782362446188927,0.02681565470993519,0.027816282585263252
5,val,1762019840.041007,0.0002,0.020635709166526794,0.010674510151147842,21.371824264526367,0.49256911873817444,0.05509279668331146,0.1363489180803299,,0.0,1.0,2501.0,0.010965021327137947,0.004202310461550951,0.02087818831205368,0.034366581588983536,0.021737132221460342,0.020447032526135445,0.02555769309401512,0.02161165326833725,0.02433990128338337
5,diag,1762019840.0413523,0.0002,,,,,,,,,,,,,,,,,,,
