epoch,step,loss,lr,time_s
1,100,0.043157123029232025,0.0002,12.07
1,200,0.018580228090286255,0.0002,19.97
1,300,0.03194177523255348,0.0002,27.88
1,400,0.031150687485933304,0.0002,35.61
1,500,0.015054535120725632,0.0002,43.5
1,600,0.03123902715742588,0.0002,51.38
1,700,0.02495478093624115,0.0002,59.25
1,800,0.023050321266055107,0.0002,67.08
1,900,0.042669627815485,0.0002,74.92
1,1000,0.01276213675737381,0.0002,82.77
1,1100,0.02574159763753414,0.0002,90.63
1,1200,0.02808370068669319,0.0002,98.48
1,1300,0.010608852840960026,0.0002,106.34
1,1400,0.024407565593719482,0.0002,114.19
1,1500,0.009192152880132198,0.0002,122.05
1,1600,0.028297115117311478,0.0002,129.91
1,1700,0.0209951251745224,0.0002,138.0
1,1800,0.0076533532701432705,0.0002,145.84
1,1900,0.013370824046432972,0.0002,153.77
1,2000,0.03954879194498062,0.0002,161.68
1,2100,0.014660734683275223,0.0002,169.61
1,2200,0.004319711122661829,0.0002,177.48
1,2300,0.028931962326169014,0.0002,185.35
1,2400,0.028607474640011787,0.0002,193.21
1,2500,0.007213318254798651,0.0002,201.08
1,2600,0.03125380352139473,0.0002,208.94
1,2700,0.032357919961214066,0.0002,216.81
1,2800,0.02472124993801117,0.0002,224.67
1,2900,0.03237352892756462,0.0002,232.52
1,3000,0.05513247102499008,0.0002,240.4
1,3100,0.0479358434677124,0.0002,248.26
1,3200,0.0653945654630661,0.0002,256.4
1,3300,0.01877005398273468,0.0002,264.4
1,3400,0.012938405387103558,0.0002,272.27
1,3500,0.016060270369052887,0.0002,280.14
1,3600,0.031525708734989166,0.0002,288.02
1,3700,0.015955908223986626,0.0002,295.88
1,3800,0.011986730620265007,0.0002,303.74
1,3900,0.02103845402598381,0.0002,311.62
1,4000,0.022016622126102448,0.0002,319.5
1,4100,0.016588754951953888,0.0002,327.36
1,4200,0.022401440888643265,0.0002,335.24
1,4300,0.02178456261754036,0.0002,343.11
1,4400,0.027707677334547043,0.0002,350.95
1,4500,0.022012246772646904,0.0002,358.82
1,4600,0.03193717449903488,0.0002,366.62
1,4700,0.03115573711693287,0.0002,374.42
1,4800,0.017040319740772247,0.0002,382.49
1,4900,0.06023266538977623,0.0002,390.46
1,5000,0.00389187503606081,0.0002,398.27
1,5100,0.017958616837859154,0.0002,406.09
1,5200,0.01627572998404503,0.0002,413.9
1,5300,0.022892210632562637,0.0002,421.7
1,5400,0.004406101070344448,0.0002,429.51
1,5500,0.039946071803569794,0.0002,437.32
1,5600,0.018131040036678314,0.0002,445.12
2,5700,0.029482567682862282,0.0002,6.02
2,5800,0.007227960973978043,0.0002,13.89
2,5900,0.01478126086294651,0.0002,21.78
2,6000,0.009882781654596329,0.0002,29.66
2,6100,0.0202579814940691,0.0002,37.54
2,6200,0.017486905679106712,0.0002,45.63
2,6300,0.00643053138628602,0.0002,53.88
2,6400,0.022653920575976372,0.0002,61.74
2,6500,0.0126952501013875,0.0002,69.61
2,6600,0.040065422654151917,0.0002,77.52
2,6700,0.025052327662706375,0.0002,85.39
2,6800,0.021715916693210602,0.0002,93.28
2,6900,0.03656648099422455,0.0002,101.17
2,7000,0.009807080030441284,0.0002,109.05
2,7100,0.029436126351356506,0.0002,116.94
2,7200,0.009276269003748894,0.0002,124.83
2,7300,0.02237120270729065,0.0002,132.72
2,7400,0.026191003620624542,0.0002,140.63
2,7500,0.023244984447956085,0.0002,148.51
2,7600,0.015713851898908615,0.0002,156.39
2,7700,0.007670465391129255,0.0002,164.26
2,7800,0.0644540786743164,0.0002,172.43
2,7900,0.038576338440179825,0.0002,180.44
2,8000,0.009941081516444683,0.0002,188.31
2,8100,0.019153285771608353,0.0002,196.19
2,8200,0.004444641061127186,0.0002,204.07
2,8300,0.024539941921830177,0.0002,211.94
2,8400,0.014064054936170578,0.0002,219.84
2,8500,0.025694148615002632,0.0002,227.74
2,8600,0.03332199156284332,0.0002,235.61
2,8700,0.060569483786821365,0.0002,243.36
2,8800,0.012862354516983032,0.0002,250.99
2,8900,0.02274913713335991,0.0002,258.62
2,9000,0.017552513629198074,0.0002,266.25
2,9100,0.031791023910045624,0.0002,274.06
2,9200,0.009131452068686485,0.0002,281.94
2,9300,0.012742794118821621,0.0002,289.81
2,9400,0.030866563320159912,0.0002,298.09
2,9500,0.017307506874203682,0.0002,305.98
2,9600,0.029917078092694283,0.0002,313.86
2,9700,0.010156756266951561,0.0002,321.73
2,9800,0.01572665199637413,0.0002,329.6
2,9900,0.01819000020623207,0.0002,337.48
2,10000,0.02480941079556942,0.0002,345.38
2,10100,0.015501430258154869,0.0002,353.29
2,10200,0.02019922062754631,0.0002,361.16
2,10300,0.056737832725048065,0.0002,369.03
2,10400,0.017363857477903366,0.0002,376.89
2,10500,0.004349160939455032,0.0002,384.76
2,10600,0.03262472152709961,0.0002,392.64
2,10700,0.02035394124686718,0.0002,400.52
2,10800,0.014992821030318737,0.0002,408.38
2,10900,0.006305744871497154,0.0002,416.4
2,11000,0.01316157542169094,0.0002,424.55
2,11100,0.006078079808503389,0.0002,432.42
2,11200,0.023844247683882713,0.0002,440.29
3,11300,0.026083020493388176,0.0002,4.11
3,11400,0.016186660155653954,0.0002,12.0
3,11500,0.018204551190137863,0.0002,19.88
3,11600,0.0205108430236578,0.0002,27.6
3,11700,0.006472177337855101,0.0002,35.45
3,11800,0.010951215401291847,0.0002,43.3
3,11900,0.01072423905134201,0.0002,51.19
3,12000,0.014050218276679516,0.0002,59.05
3,12100,0.019580814987421036,0.0002,66.79
3,12200,0.05640668421983719,0.0002,74.44
3,12300,0.03274169936776161,0.0002,82.09
3,12400,0.013613954186439514,0.0002,89.73
3,12500,0.019177842885255814,0.0002,97.91
3,12600,0.01890895515680313,0.0002,105.55
3,12700,0.03191379830241203,0.0002,113.43
3,12800,0.023290030658245087,0.0002,121.3
3,12900,0.019628413021564484,0.0002,129.19
3,13000,0.0067233312875032425,0.0002,137.07
3,13100,0.05114171653985977,0.0002,144.95
3,13200,0.025073673576116562,0.0002,152.82
3,13300,0.03376755118370056,0.0002,160.7
3,13400,0.008919142186641693,0.0002,168.59
3,13500,0.06133504584431648,0.0002,176.45
3,13600,0.048390358686447144,0.0002,184.33
3,13700,0.05407819151878357,0.0002,192.21
3,13800,0.022616583853960037,0.0002,200.09
3,13900,0.00689426576718688,0.0002,207.97
3,14000,0.025068294256925583,0.0002,216.25
3,14100,0.011329179629683495,0.0002,224.25
3,14200,0.01948622614145279,0.0002,232.13
3,14300,0.008924594148993492,0.0002,240.01
3,14400,0.02428755909204483,0.0002,247.9
3,14500,0.024352770298719406,0.0002,255.79
3,14600,0.007537211291491985,0.0002,263.67
3,14700,0.033211395144462585,0.0002,271.53
3,14800,0.021181020885705948,0.0002,279.2
3,14900,0.041764676570892334,0.0002,286.85
3,15000,0.024974843487143517,0.0002,294.51
3,15100,0.006309080868959427,0.0002,302.18
3,15200,0.029356341809034348,0.0002,309.84
3,15300,0.02991276979446411,0.0002,317.5
3,15400,0.014887385070323944,0.0002,325.14
3,15500,0.060881875455379486,0.0002,332.81
3,15600,0.023212704807519913,0.0002,341.0
3,15700,0.008583303540945053,0.0002,348.63
3,15800,0.035332027822732925,0.0002,356.28
3,15900,0.02801741287112236,0.0002,363.93
3,16000,0.0325566902756691,0.0002,371.58
3,16100,0.03133799508213997,0.0002,379.22
3,16200,0.011398698203265667,0.0002,386.9
3,16300,0.02807554602622986,0.0002,394.56
3,16400,0.03740183264017105,0.0002,402.21
3,16500,0.024140669032931328,0.0002,409.88
3,16600,0.034640029072761536,0.0002,417.53
3,16700,0.011540677398443222,0.0002,425.17
3,16800,0.014598078094422817,0.0002,432.82
4,16900,0.02594793401658535,0.0002,2.22
4,17000,0.010386336594820023,0.0002,10.11
4,17100,0.015442794188857079,0.0002,18.36
4,17200,0.01660044863820076,0.0002,26.38
4,17300,0.03480939939618111,0.0002,34.27
4,17400,0.01647978089749813,0.0002,42.18
4,17500,0.0222921185195446,0.0002,50.07
4,17600,0.0073465388268232346,0.0002,57.97
4,17700,0.028779804706573486,0.0002,65.83
4,17800,0.018010415136814117,0.0002,73.73
4,17900,0.024949902668595314,0.0002,81.62
4,18000,0.008261056616902351,0.0002,89.52
4,18100,0.016618654131889343,0.0002,97.4
4,18200,0.014933237805962563,0.0002,105.28
4,18300,0.011475359089672565,0.0002,113.13
4,18400,0.02080295979976654,0.0002,120.92
4,18500,0.028193969279527664,0.0002,128.6
4,18600,0.012150386348366737,0.0002,136.26
4,18700,0.021911432966589928,0.0002,144.44
4,18800,0.024185648187994957,0.0002,152.11
4,18900,0.021827341988682747,0.0002,159.83
4,19000,0.03541327267885208,0.0002,167.74
4,19100,0.013715274631977081,0.0002,175.54
4,19200,0.018555205315351486,0.0002,183.2
4,19300,0.021296147257089615,0.0002,190.85
4,19400,0.0076490892097353935,0.0002,198.5
4,19500,0.03333664685487747,0.0002,206.15
4,19600,0.01732965186238289,0.0002,213.8
4,19700,0.020374134182929993,0.0002,221.43
4,19800,0.004360693506896496,0.0002,229.07
4,19900,0.010634345933794975,0.0002,236.72
4,20000,0.01176433451473713,0.0002,244.38
4,20100,0.02510383538901806,0.0002,252.03
4,20200,0.03615664318203926,0.0002,260.05
4,20300,0.02486852928996086,0.0002,267.8
4,20400,0.014212580397725105,0.0002,275.46
4,20500,0.012109171599149704,0.0002,283.09
4,20600,0.042487069964408875,0.0002,290.75
4,20700,0.006563861854374409,0.0002,298.4
4,20800,0.0063180564902722836,0.0002,306.05
4,20900,0.015850180760025978,0.0002,313.69
4,21000,0.03310485929250717,0.0002,321.33
4,21100,0.019785257056355476,0.0002,329.16
4,21200,0.030949246138334274,0.0002,337.05
4,21300,0.012072081677615643,0.0002,344.95
4,21400,0.05158557742834091,0.0002,352.84
4,21500,0.01596221514046192,0.0002,360.71
4,21600,0.01323775202035904,0.0002,368.36
4,21700,0.03696282207965851,0.0002,376.01
4,21800,0.007691157516092062,0.0002,384.03
4,21900,0.011881966143846512,0.0002,391.8
4,22000,0.03780408948659897,0.0002,399.43
4,22100,0.013488845899701118,0.0002,407.05
4,22200,0.02511228621006012,0.0002,414.69
4,22300,0.011976261623203754,0.0002,422.32
4,22400,0.04383450374007225,0.0002,429.95
5,22500,0.0071107433177530766,0.0002,1.05
5,22600,0.03367672115564346,0.0002,8.93
5,22700,0.006435399409383535,0.0002,16.81
5,22800,0.002997733885422349,0.0002,24.7
5,22900,0.014821970835328102,0.0002,32.59
5,23000,0.03310157731175423,0.0002,40.46
5,23100,0.03057272545993328,0.0002,48.36
5,23200,0.017741980031132698,0.0002,56.23
5,23300,0.03953223302960396,0.0002,64.5
5,23400,0.005144662223756313,0.0002,72.54
5,23500,0.020740803331136703,0.0002,80.4
5,23600,0.028236471116542816,0.0002,88.25
5,23700,0.010408813133835793,0.0002,96.12
5,23800,0.011015700176358223,0.0002,103.99
5,23900,0.02778668887913227,0.0002,111.86
5,24000,0.013218045234680176,0.0002,119.72
5,24100,0.0047988626174628735,0.0002,127.59
5,24200,0.014496993273496628,0.0002,135.45
5,24300,0.015030928887426853,0.0002,143.32
5,24400,0.008817864581942558,0.0002,151.17
5,24500,0.008375270292162895,0.0002,159.04
5,24600,0.008429527282714844,0.0002,166.91
5,24700,0.019671976566314697,0.0002,174.77
5,24800,0.04416283965110779,0.0002,182.77
5,24900,0.02760976180434227,0.0002,190.98
5,25000,0.030859746038913727,0.0002,198.63
5,25100,0.00746273435652256,0.0002,206.28
5,25200,0.009248212911188602,0.0002,213.94
5,25300,0.017047761008143425,0.0002,221.58
5,25400,0.03251389041543007,0.0002,229.23
5,25500,0.015801357105374336,0.0002,236.89
5,25600,0.014624394476413727,0.0002,244.54
5,25700,0.010066954419016838,0.0002,252.19
5,25800,0.011324647814035416,0.0002,259.84
5,25900,0.08045756816864014,0.0002,267.49
5,26000,0.018232638016343117,0.0002,275.2
5,26100,0.02028859406709671,0.0002,283.04
5,26200,0.019626855850219727,0.0002,290.83
5,26300,0.08979564905166626,0.0002,298.48
5,26400,0.021491259336471558,0.0002,306.53
5,26500,0.010935566388070583,0.0002,314.48
5,26600,0.02197265811264515,0.0002,322.27
5,26700,0.006506929639726877,0.0002,330.09
5,26800,0.027995135635137558,0.0002,337.92
5,26900,0.022897128015756607,0.0002,345.77
5,27000,0.008761768229305744,0.0002,353.62
5,27100,0.018739530816674232,0.0002,361.47
5,27200,0.032066263258457184,0.0002,369.32
5,27300,0.020728453993797302,0.0002,377.17
5,27400,0.014763844199478626,0.0002,385.02
5,27500,0.03791651502251625,0.0002,392.86
5,27600,0.014265241101384163,0.0002,400.72
5,27700,0.005562975537031889,0.0002,408.58
5,27800,0.03572269529104233,0.0002,416.45
5,27900,0.015612569637596607,0.0002,424.42
5,28000,0.017548251897096634,0.0002,432.54
5,28100,0.011586467735469341,0.0002,440.57
6,28200,0.01631912775337696,0.0002,6.32
6,28300,0.02477879635989666,0.0002,14.22
6,28400,0.04866068810224533,0.0002,22.06
6,28500,0.0318625271320343,0.0002,29.9
6,28600,0.022267546504735947,0.0002,37.79
6,28700,0.01356515847146511,0.0002,45.67
6,28800,0.029183272272348404,0.0002,53.44
